"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.985042000E-1,9.200000018E-2,0.000000000E0,-8.100000024E-2,1.225765070E-1
4.035189590E-1,7.800000161E-2,1.300000027E-2,-3.999999911E-2,8.861715515E-2
4.085337280E-1,6.499999762E-2,0.000000000E0,1.300000027E-2,6.628725139E-2
4.135484970E-1,7.800000161E-2,0.000000000E0,6.800000370E-2,1.034794702E-1
4.185632660E-1,7.800000161E-2,-1.300000027E-2,8.100000024E-2,1.131989412E-1
4.235780350E-1,6.499999762E-2,-4.100000113E-2,0.000000000E0,7.685050282E-2
4.285927750E-1,6.499999762E-2,-5.400000140E-2,-3.999999911E-2,9.349331404E-2
4.336075440E-1,6.499999762E-2,-4.100000113E-2,-3.999999911E-2,8.663717280E-2
4.386223080E-1,6.499999762E-2,-2.700000070E-2,-3.999999911E-2,8.095677647E-2
4.436370780E-1,6.499999762E-2,-1.400000043E-2,2.700000070E-2,7.176349866E-2
4.486518290E-1,5.099999905E-2,0.000000000E0,9.499999881E-2,1.078239291E-1
4.536665990E-1,9.200000018E-2,-1.400000043E-2,1.490000039E-1,1.756729951E-1
4.586813680E-1,5.099999905E-2,-2.700000070E-2,8.100000024E-2,9.945350662E-2
4.636961660E-1,6.400000304E-2,-1.400000043E-2,-3.999999911E-2,7.675936640E-2
4.687109350E-1,6.499999762E-2,0.000000000E0,-5.400000140E-2,8.450443681E-2
4.737256800E-1,7.800000161E-2,1.200000010E-2,-3.999999911E-2,8.847598647E-2
4.787404490E-1,7.800000161E-2,2.600000054E-2,2.700000070E-2,8.653901038E-2
4.837552030E-1,6.499999762E-2,1.200000010E-2,1.220000014E-1,1.387551802E-1
4.887699720E-1,6.499999762E-2,0.000000000E0,1.630000025E-1,1.754821943E-1
4.937850060E-1,6.499999762E-2,0.000000000E0,8.100000024E-2,1.038556678E-1
4.987997770E-1,6.499999762E-2,0.000000000E0,-2.700000070E-2,7.038465549E-2
5.038145460E-1,6.499999762E-2,1.200000010E-2,-1.220000014E-1,1.387551802E-1
5.088293340E-1,7.800000161E-2,3.999999911E-2,-9.499999881E-2,1.292632970E-1
5.138438730E-1,7.800000161E-2,5.299999937E-2,-1.300000027E-2,9.519453867E-2
5.188586060E-1,7.800000161E-2,5.299999937E-2,8.100000024E-2,1.243141192E-1
5.238733750E-1,6.499999762E-2,3.999999911E-2,1.080000028E-1,1.322459838E-1
5.288881310E-1,6.499999762E-2,2.600000054E-2,6.800000370E-2,9.759610761E-2
5.339029000E-1,6.499999762E-2,2.600000054E-2,-5.400000140E-2,8.841379909E-2
5.389176690E-1,7.800000161E-2,3.999999911E-2,-1.770000011E-1,1.975170893E-1
5.439324380E-1,6.499999762E-2,3.999999911E-2,-1.360000074E-1,1.559519209E-1
5.489472080E-1,9.200000018E-2,6.700000167E-2,-3.999999911E-2,1.206358163E-1
5.539622170E-1,9.200000018E-2,7.999999821E-2,3.999999911E-2,1.283121182E-1
5.589769880E-1,6.499999762E-2,8.100000024E-2,5.400000140E-2,1.170555419E-1
5.639917670E-1,6.499999762E-2,5.299999937E-2,2.700000070E-2,8.810788649E-2
5.690065360E-1,9.200000018E-2,3.999999911E-2,-6.800000370E-2,1.211940612E-1
5.740213060E-1,9.200000018E-2,3.999999911E-2,-1.630000025E-1,1.913974942E-1
5.790360700E-1,6.499999762E-2,6.700000167E-2,-1.899999976E-1,2.116931718E-1
5.840508390E-1,6.499999762E-2,8.100000024E-2,-1.080000028E-1,1.498332418E-1
5.890656080E-1,6.499999762E-2,8.100000024E-2,2.700000070E-2,1.073079669E-1
5.940803960E-1,6.499999762E-2,6.700000167E-2,9.499999881E-2,1.331878361E-1
5.990951650E-1,5.099999905E-2,6.700000167E-2,8.100000024E-2,1.168374947E-1
6.041099340E-1,6.499999762E-2,3.999999911E-2,-2.700000070E-2,8.095677647E-2
6.091247030E-1,7.900000364E-2,3.999999911E-2,-1.490000039E-1,1.733262867E-1
6.141394720E-1,5.099999905E-2,3.999999911E-2,-1.770000011E-1,1.884940323E-1
6.191542410E-1,5.099999905E-2,5.400000140E-2,-5.400000140E-2,9.183136831E-2
6.241690150E-1,7.900000364E-2,5.400000140E-2,1.220000014E-1,1.550516077E-1
6.291837840E-1,6.499999762E-2,3.999999911E-2,1.490000039E-1,1.674096795E-1
6.341985530E-1,5.099999905E-2,2.700000070E-2,9.499999881E-2,1.111530464E-1
6.392133330E-1,7.900000364E-2,2.700000070E-2,0.000000000E0,8.348652953E-2
6.442281030E-1,1.059999987E-1,2.700000070E-2,-9.499999881E-2,1.448792585E-1
6.492428730E-1,9.200000018E-2,1.300000027E-2,-1.080000028E-1,1.424675424E-1
6.542576420E-1,6.499999762E-2,2.700000070E-2,-3.999999911E-2,8.095677647E-2
6.592724200E-1,9.200000018E-2,3.999999911E-2,9.499999881E-2,1.381629463E-1
6.642871890E-1,7.900000364E-2,2.700000070E-2,1.630000025E-1,1.831365650E-1
6.693019580E-1,7.900000364E-2,1.300000027E-2,1.490000039E-1,1.691478695E-1
6.743167370E-1,7.900000364E-2,0.000000000E0,5.400000140E-2,9.569221873E-2
6.793315060E-1,9.200000018E-2,0.000000000E0,-5.400000140E-2,1.066770837E-1
6.843463520E-1,9.200000018E-2,1.300000027E-2,-8.100000024E-2,1.232639448E-1
6.893610940E-1,7.900000364E-2,1.400000043E-2,-1.300000027E-2,8.127730676E-2
6.943758630E-1,9.200000018E-2,2.700000070E-2,1.080000028E-1,1.444195301E-1
6.993905560E-1,1.059999987E-1,1.400000043E-2,1.630000025E-1,1.949384533E-1
7.044053230E-1,9.300000221E-2,1.400000043E-2,1.360000074E-1,1.653511489E-1
7.094200920E-1,7.900000364E-2,0.000000000E0,3.999999911E-2,8.854942407E-2
7.144349570E-1,9.300000221E-2,0.000000000E0,-5.400000140E-2,1.075406926E-1
7.194497290E-1,7.900000364E-2,-1.300000027E-2,-1.080000028E-1,1.344395819E-1
7.244645130E-1,7.900000364E-2,1.400000043E-2,-8.100000024E-2,1.140087743E-1
7.294792820E-1,7.900000364E-2,0.000000000E0,3.999999911E-2,8.854942407E-2
7.344939740E-1,7.900000364E-2,0.000000000E0,1.490000039E-1,1.686475667E-1
7.395087420E-1,6.499999762E-2,0.000000000E0,1.220000014E-1,1.382353067E-1
7.445235640E-1,6.499999762E-2,0.000000000E0,0.000000000E0,6.499999762E-2
7.495383350E-1,6.499999762E-2,0.000000000E0,-1.220000014E-1,1.382353067E-1
7.545531040E-1,6.499999762E-2,0.000000000E0,-1.220000014E-1,1.382353067E-1
7.595678580E-1,5.200000107E-2,0.000000000E0,-1.080000028E-1,1.198665955E-1
7.645826280E-1,5.200000107E-2,2.700000070E-2,-2.700000070E-2,6.451356592E-2
